date,patients,icu_patients,emergency_cases,staff_available,beds_available
2024-01-01,50,10,15,12,100
2024-01-02,60,12,18,12,100
2024-01-03,55,11,14,11,100
2024-01-04,70,15,20,13,100
2024-01-05,65,14,19,12,100
2024-01-06,80,20,25,14,100
2024-01-07,75,18,22,13,100
2024-01-08,90,25,30,15,100
2024-01-09,85,22,28,14,100
2024-01-10,95,27,32,16,100
2024-01-11,100,30,35,16,100
2024-01-12,110,35,40,17,100
2024-01-13,105,32,38,16,100
2024-01-14,115,36,42,18,100
2024-01-15,120,40,45,18,100
2024-01-16,130,45,50,19,100
2024-01-17,125,42,48,18,100
2024-01-18,135,48,52,20,100
2024-01-19,140,50,55,20,100
2024-01-20,150,55,60,22,100
2024-01-21,145,52,58,21,100
2024-01-22,155,58,62,22,100
2024-01-23,160,60,65,23,100
2024-01-24,170,65,70,24,100
2024-01-25,165,63,68,23,100
2024-01-26,175,68,72,25,100
2024-01-27,180,70,75,25,100
2024-01-28,190,75,80,26,100
2024-01-29,185,73,78,25,100
2024-01-30,195,78,82,27,100
